Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Day of the week
01/06/2018,3088,18,28.5,36,3,1981,11.9,1.21,0,0,Summer,No Holiday,Yes,Friday
02/06/2018,2246,18,27.4,29,3.6,2000,7.7,1.19,0,0,Summer,No Holiday,Yes,Saturday
03/06/2018,2349,18,29.3,25,2.4,1973,7.2,1.23,0,0,Summer,No Holiday,Yes,Sunday
04/06/2018,3380,18,24.4,48,1.9,1998,12.6,0.56,0,0,Summer,No Holiday,Yes,Monday
05/06/2018,3227,18,27.1,40,2.8,1811,12.3,1,0,0,Summer,No Holiday,Yes,Tuesday
06/06/2018,2162,18,26.6,52,2.5,1368,15.9,1.09,0,0,Summer,Holiday,Yes,Wednesday
07/06/2018,3221,18,25.6,57,2.7,1217,16.4,0.96,0,0,Summer,No Holiday,Yes,Thursday
08/06/2018,3309,18,26.2,54,2.2,1183,16.1,0.88,0,0,Summer,No Holiday,Yes,Friday
09/06/2018,1934,18,27.3,42,1.2,2000,13.2,0.19,0,0,Summer,No Holiday,Yes,Saturday
10/06/2018,2367,18,24.1,53,1.3,2000,13.9,0.48,0,0,Summer,No Holiday,Yes,Sunday
11/06/2018,1491,18,19.8,80,3.9,2000,16.2,0.12,0,0,Summer,No Holiday,Yes,Monday
12/06/2018,3404,18,24.9,53,3.6,2000,14.6,1.28,0,0,Summer,No Holiday,Yes,Tuesday
13/06/2018,2479,18,23.4,63,3.6,1245,15.9,0.5,0,0,Summer,No Holiday,Yes,Wednesday
14/06/2018,2962,18,24,61,1.5,1935,16,0.26,0,0,Summer,No Holiday,Yes,Thursday
15/06/2018,2891,18,25.9,44,1.5,2000,12.7,1.36,0,0,Summer,No Holiday,Yes,Friday
16/06/2018,2451,18,28,46,2.3,1833,15.2,1.23,0,0,Summer,No Holiday,Yes,Saturday
17/06/2018,2474,18,25,59,3.4,1324,16.4,0.54,0,0,Summer,No Holiday,Yes,Sunday
18/06/2018,746,18,29.2,35,2.7,1900,12.1,1.27,0,0,Summer,No Holiday,Yes,Monday
19/06/2018,3556,18,24.1,57,2.9,1301,15,0.56,0,0,Summer,No Holiday,Yes,Tuesday
20/06/2018,3384,18,27,55,3.1,1246,17.1,1.26,0,0,Summer,No Holiday,Yes,Wednesday
21/06/2018,3418,18,27.8,43,3,1933,14,1.35,0,0,Summer,No Holiday,Yes,Thursday
22/06/2018,3365,18,29.3,27,3.4,1977,8.3,1.24,0,0,Summer,No Holiday,Yes,Friday
23/06/2018,2256,18,26.3,55,3.2,1119,16.5,0.64,0,0,Summer,No Holiday,Yes,Saturday
24/06/2018,2094,18,29.8,35,3.3,1805,12.6,1.15,0,0,Summer,No Holiday,Yes,Sunday
25/06/2018,3238,18,30.7,43,1.6,931,16.6,0.74,0,0,Summer,No Holiday,Yes,Monday
26/06/2018,156,18,24.1,95,4.4,261,23.2,0.03,1,0,Summer,No Holiday,Yes,Tuesday
27/06/2018,3172,18,25,69,1.5,1125,18.9,0.52,0,0,Summer,No Holiday,Yes,Wednesday
28/06/2018,596,18,20.6,97,0.7,222,20.1,0.14,21.5,0,Summer,No Holiday,Yes,Thursday
29/06/2018,3113,18,28.1,60,1.9,959,19.5,1.05,0,0,Summer,No Holiday,Yes,Friday
30/06/2018,306,18,27.5,79,0.5,1237,23.5,0.65,0.5,0,Summer,No Holiday,Yes,Saturday
01/07/2018,17,18,22.2,96,1.2,673,21.5,0.09,3.5,0,Summer,No Holiday,Yes,Sunday
02/07/2018,832,18,24.9,87,1.9,1742,22.5,0.25,0,0,Summer,No Holiday,Yes,Monday
03/07/2018,2965,18,32.2,57,1.8,1880,22.5,1.53,0,0,Summer,No Holiday,Yes,Tuesday
04/07/2018,3080,18,30,60,2.5,1933,21.3,0.99,0,0,Summer,No Holiday,Yes,Wednesday
05/07/2018,2594,18,26.8,71,1.2,2000,21,0.21,0,0,Summer,No Holiday,Yes,Thursday
06/07/2018,3196,18,25.9,52,2.1,2000,15.2,0.57,0,0,Summer,No Holiday,Yes,Friday
07/07/2018,2238,18,27.8,48,1.2,2000,15.7,0.91,0,0,Summer,No Holiday,Yes,Saturday
08/07/2018,2351,18,26.7,48,1,2000,14.7,0.53,0,0,Summer,No Holiday,Yes,Sunday
09/07/2018,140,18,20.3,93,1.3,1832,19.1,0.22,0.5,0,Summer,No Holiday,Yes,Monday
10/07/2018,1665,18,26.2,82,0.4,1408,22.8,0.21,0,0,Summer,No Holiday,Yes,Tuesday
11/07/2018,2931,18,28.4,75,2.4,1564,23.5,0.52,0,0,Summer,No Holiday,Yes,Wednesday
12/07/2018,3016,18,27.5,77,2.1,1897,23,0.46,0,0,Summer,No Holiday,Yes,Thursday
13/07/2018,2884,18,30.8,60,2.5,1793,22.1,1.43,0,0,Summer,No Holiday,Yes,Friday
14/07/2018,1624,18,31.1,55,2.2,1897,20.9,1.05,0,0,Summer,No Holiday,Yes,Saturday
15/07/2018,1466,18,32.2,55,2.4,1769,22,1.28,0,0,Summer,No Holiday,Yes,Sunday
16/07/2018,2636,18,32.3,47,3,1961,19.5,1.26,0,0,Summer,No Holiday,Yes,Monday
17/07/2018,2770,18,31.3,55,2.5,1550,21.1,1.2,0,0,Summer,No Holiday,Yes,Tuesday
18/07/2018,2692,18,32,50,2.6,1374,20.2,1.25,0,0,Summer,No Holiday,Yes,Wednesday
19/07/2018,2640,18,33,51,2.4,1566,21.5,1.23,0,0,Summer,No Holiday,Yes,Thursday
20/07/2018,2419,18,33.9,42,2,1969,19.1,1.25,0,0,Summer,No Holiday,Yes,Friday
21/07/2018,1202,18,35,42,2.9,1953,20.1,1.26,0,0,Summer,No Holiday,Yes,Saturday
22/07/2018,1212,18,36.3,35,3,1860,18.3,0.89,0,0,Summer,No Holiday,Yes,Sunday
23/07/2018,2405,18,33.9,53,3.2,1886,22.9,0.94,0,0,Summer,No Holiday,Yes,Monday
24/07/2018,2300,18,34.9,53,2.2,1296,23.8,0.86,0,0,Summer,No Holiday,Yes,Tuesday
25/07/2018,2416,18,32.2,58,2.5,1553,22.8,0.44,0,0,Summer,No Holiday,Yes,Wednesday
26/07/2018,2367,18,33.2,59,1.8,1069,24,0.99,0,0,Summer,No Holiday,Yes,Thursday
27/07/2018,2183,18,33.7,62,3.2,1082,25.3,0.87,0,0,Summer,No Holiday,Yes,Friday
28/07/2018,843,18,29,81,0.8,989,25.4,0.22,0,0,Summer,No Holiday,Yes,Saturday
29/07/2018,1141,18,35.8,35,1.3,2000,17.9,1.21,0,0,Summer,No Holiday,Yes,Sunday
30/07/2018,2347,18,36.5,38,0.9,2000,19.8,1.17,0,0,Summer,No Holiday,Yes,Monday
31/07/2018,2092,18,36.2,45,2,2000,22.3,0.65,0,0,Summer,No Holiday,Yes,Tuesday
01/08/2018,1929,18,37.8,47,3.8,1931,24.5,1.09,0,0,Summer,No Holiday,Yes,Wednesday
02/08/2018,1881,18,36.7,47,2.5,1803,23.5,0.99,0,0,Summer,No Holiday,Yes,Thursday
03/08/2018,1920,18,34.4,53,3.3,1650,23.4,0.8,0,0,Summer,No Holiday,Yes,Friday
04/08/2018,1044,18,33.2,52,3.7,1986,22,1.14,0,0,Summer,No Holiday,Yes,Saturday
05/08/2018,1247,18,31.8,63,4,1849,23.8,0.81,0,0,Summer,No Holiday,Yes,Sunday
06/08/2018,1956,18,32.8,63,1.3,1799,24.8,0.31,0,0,Summer,No Holiday,Yes,Monday
07/08/2018,2274,18,34.6,50,3.1,1821,22.6,1,0,0,Summer,No Holiday,Yes,Tuesday
08/08/2018,2326,18,34.5,45,2,2000,20.8,1,0,0,Summer,No Holiday,Yes,Wednesday
09/08/2018,1850,18,28.1,86,2.3,1244,25.5,0.28,0.5,0,Summer,No Holiday,Yes,Thursday
10/08/2018,2289,18,35.2,44,2.6,2000,21.1,1.23,0,0,Summer,No Holiday,Yes,Friday
11/08/2018,1274,18,34.4,40,1.8,2000,18.8,0.65,0,0,Summer,No Holiday,Yes,Saturday
12/08/2018,1225,18,33.4,49,1.6,1971,21.2,0.25,0,0,Summer,No Holiday,Yes,Sunday
13/08/2018,2367,18,33.1,59,3.1,1726,24,0.72,0,0,Summer,No Holiday,Yes,Monday
14/08/2018,2305,18,33.7,53,2.4,2000,22.7,0.78,0,0,Summer,No Holiday,Yes,Tuesday
15/08/2018,925,18,32.8,63,2.3,1546,24.8,0.89,0.1,0,Summer,Holiday,Yes,Wednesday
16/08/2018,2481,18,32.4,40,2.1,2000,17,1.04,0,0,Summer,No Holiday,Yes,Thursday
17/08/2018,2797,18,32.5,28,1.4,2000,11.6,1.06,0,0,Summer,No Holiday,Yes,Friday
18/08/2018,1979,18,30.1,37,2.1,2000,13.8,0.88,0,0,Summer,No Holiday,Yes,Saturday
19/08/2018,1928,18,32.3,41,1.9,2000,17.3,0.62,0,0,Summer,No Holiday,Yes,Sunday
20/08/2018,2628,18,31.6,47,2.1,1867,18.9,0.26,0,0,Summer,No Holiday,Yes,Monday
21/08/2018,2830,18,30.3,56,1.7,2000,20.5,0.8,0,0,Summer,No Holiday,Yes,Tuesday
22/08/2018,2528,18,35.4,40,1,2000,19.7,0.34,0,0,Summer,No Holiday,Yes,Wednesday
23/08/2018,1447,18,30.6,55,2.3,2000,20.5,0.11,0,0,Summer,No Holiday,Yes,Thursday
24/08/2018,916,18,23.8,95,2.7,1938,22.9,0.11,1.5,0,Summer,No Holiday,Yes,Friday
25/08/2018,2080,18,27.1,56,3,1987,17.5,0.87,0,0,Summer,No Holiday,Yes,Saturday
26/08/2018,1479,18,23.4,67,0.6,2000,16.9,0.36,0,0,Summer,No Holiday,Yes,Sunday
27/08/2018,2153,18,24.8,83,0.8,1947,21.7,0.26,0,0,Summer,No Holiday,Yes,Monday
28/08/2018,96,18,24.3,97,0.8,105,23.7,0.01,18.5,0,Summer,No Holiday,Yes,Tuesday
29/08/2018,57,18,23.9,96,0.2,991,23.2,0,1.5,0,Summer,No Holiday,Yes,Wednesday
30/08/2018,1887,18,26.1,72,2.4,1066,20.6,0.19,0,0,Summer,No Holiday,Yes,Thursday
31/08/2018,2836,18,28.4,57,2.4,2000,19,0.84,0,0,Summer,No Holiday,Yes,Friday
01/09/2018,1892,18,28.8,46,1.3,2000,16,0.58,0,0,Autumn,No Holiday,Yes,Saturday
02/09/2018,2118,18,27.9,52,1.7,2000,17.1,0.2,0,0,Autumn,No Holiday,Yes,Sunday
03/09/2018,113,18,21.9,97,1.8,757,21.3,0.02,13,0,Autumn,No Holiday,Yes,Monday
04/09/2018,3166,18,26.8,53,2.6,2000,16.4,0.8,0,0,Autumn,No Holiday,Yes,Tuesday
05/09/2018,3160,18,27,45,2.4,2000,14,0.77,0,0,Autumn,No Holiday,Yes,Wednesday
06/09/2018,2497,18,25.8,58,2.9,2000,16.9,0.16,0,0,Autumn,No Holiday,Yes,Thursday
07/09/2018,3154,18,24.4,34,2.4,2000,7.5,0.84,0,0,Autumn,No Holiday,Yes,Friday
08/09/2018,2255,18,25.7,38,1.5,2000,10.3,0.64,0,0,Autumn,No Holiday,Yes,Saturday
09/09/2018,2368,18,26,35,0.3,2000,9.3,0.2,0,0,Autumn,No Holiday,Yes,Sunday
10/09/2018,3298,18,25.9,42,1.1,2000,11.9,0.48,0,0,Autumn,No Holiday,Yes,Monday
11/09/2018,3222,18,24.7,45,0.7,2000,11.9,0.3,0,0,Autumn,No Holiday,Yes,Tuesday
12/09/2018,3256,18,27,44,1.4,2000,13.6,0.62,0,0,Autumn,No Holiday,Yes,Wednesday
13/09/2018,3146,18,26.7,56,1.8,2000,17.1,0.47,0,0,Autumn,No Holiday,Yes,Thursday
14/09/2018,2826,18,25.7,57,1.5,2000,16.5,0.24,0,0,Autumn,No Holiday,Yes,Friday
15/09/2018,1566,18,24.2,76,1.2,2000,19.6,0.12,0,0,Autumn,No Holiday,Yes,Saturday
16/09/2018,520,18,21.5,89,3,350,19.6,0.18,0,0,Autumn,No Holiday,Yes,Sunday
17/09/2018,3277,18,25.3,56,2.8,1992,15.8,0.54,0,0,Autumn,No Holiday,Yes,Monday
18/09/2018,0,18,24.8,48,1.4,2000,13,0.51,0,0,Autumn,No Holiday,No,Tuesday
19/09/2018,0,18,24,55,2.2,1691,14.3,0.12,0,0,Autumn,No Holiday,No,Wednesday
20/09/2018,1786,18,19.1,77,2.5,2000,14.9,0.08,0,0,Autumn,No Holiday,Yes,Thursday
21/09/2018,2235,18,20.9,77,0.6,2000,16.7,0.23,0,0,Autumn,No Holiday,Yes,Friday
22/09/2018,1939,18,23.2,36,2.8,2000,7.2,0.47,0,0,Autumn,No Holiday,Yes,Saturday
23/09/2018,1492,18,22.3,53,2.7,2000,12.2,0.44,0,0,Autumn,Holiday,Yes,Sunday
24/09/2018,1237,18,20.3,35,2.4,2000,4.3,0.46,0,0,Autumn,Holiday,Yes,Monday
25/09/2018,1885,18,21.6,37,1,2000,6.2,0.24,0,0,Autumn,Holiday,Yes,Tuesday
26/09/2018,2339,18,22.1,45,1.5,2000,9.6,0.27,0,0,Autumn,No Holiday,Yes,Wednesday
27/09/2018,3154,18,22.5,38,0.8,2000,7.4,0.31,0,0,Autumn,No Holiday,Yes,Thursday
28/09/2018,0,18,20.4,56,1.7,2000,11.3,0.2,0,0,Autumn,No Holiday,No,Friday
29/09/2018,2397,18,24.8,41,0.5,2000,10.6,0.33,0,0,Autumn,No Holiday,Yes,Saturday
30/09/2018,0,18,18.3,34,3.3,2000,2.1,0.36,0,0,Autumn,No Holiday,No,Sunday
01/10/2018,2857,18,16.6,61,2.9,2000,9,0.16,0,0,Autumn,No Holiday,Yes,Monday
02/10/2018,0,18,19.2,48,2.2,2000,7.9,0.28,0,0,Autumn,No Holiday,No,Tuesday
03/10/2018,2235,18,21.5,43,1.8,2000,8.3,0.26,0,0,Autumn,Holiday,Yes,Wednesday
04/10/2018,0,18,23.1,48,1.3,2000,11.4,0.2,0,0,Autumn,No Holiday,No,Thursday
05/10/2018,74,18,16.7,96,1.6,1461,16,0.03,1,0,Autumn,No Holiday,Yes,Friday
06/10/2018,2012,18,20.5,66,1.2,2000,13.9,0.16,0,0,Autumn,No Holiday,Yes,Saturday
07/10/2018,2069,18,17.9,29,2.8,2000,-0.4,0.16,0,0,Autumn,No Holiday,Yes,Sunday
08/10/2018,2787,18,18.1,39,1,2000,3.9,0.21,0,0,Autumn,No Holiday,Yes,Monday
09/10/2018,0,18,17.7,43,1.5,2000,4.9,0.05,0,0,Autumn,Holiday,No,Tuesday
10/10/2018,2514,18,12.2,45,3.1,2000,0.5,0.16,0,0,Autumn,No Holiday,Yes,Wednesday
11/10/2018,2378,18,12.1,40,2.4,1854,-1.1,0.18,0,0,Autumn,No Holiday,Yes,Thursday
12/10/2018,2618,18,14.3,46,1.3,2000,2.8,0.16,0,0,Autumn,No Holiday,Yes,Friday
13/10/2018,1695,18,16.5,38,1.6,1246,2.1,0.14,0,0,Autumn,No Holiday,Yes,Saturday
14/10/2018,1662,18,16.2,58,2.4,1991,7.9,0.12,0,0,Autumn,No Holiday,Yes,Sunday
15/10/2018,2635,18,18,66,2.3,554,11.5,0.1,0,0,Autumn,No Holiday,Yes,Monday
16/10/2018,2716,18,16.9,47,1.4,1637,5.5,0.11,0,0,Autumn,No Holiday,Yes,Tuesday
17/10/2018,2445,18,14.6,39,2.3,2000,0.7,0.11,0,0,Autumn,No Holiday,Yes,Wednesday
18/10/2018,2499,18,15.7,45,2.5,2000,3.7,0.06,0,0,Autumn,No Holiday,Yes,Thursday
19/10/2018,2631,18,16.6,40,2.4,2000,2.9,0.11,0,0,Autumn,No Holiday,Yes,Friday
20/10/2018,1707,18,16.6,41,2.4,1811,3.2,0.04,0,0,Autumn,No Holiday,Yes,Saturday
21/10/2018,1618,18,16.2,41,1.4,1907,2.9,0.06,0,0,Autumn,No Holiday,Yes,Sunday
22/10/2018,2613,18,17.3,43,0.9,783,4.5,0.08,0,0,Autumn,No Holiday,Yes,Monday
23/10/2018,2415,18,14.5,71,2.1,1235,9.2,0.06,0,0,Autumn,No Holiday,Yes,Tuesday
24/10/2018,2612,18,15.1,53,1.7,2000,5.5,0.06,0,0,Autumn,No Holiday,Yes,Wednesday
25/10/2018,2632,18,17.3,39,1.3,1641,3.1,0.03,0,0,Autumn,No Holiday,Yes,Thursday
26/10/2018,1882,18,13.1,74,1.6,1989,8.5,0.05,0,0,Autumn,No Holiday,Yes,Friday
27/10/2018,1054,18,8.9,39,3.5,2000,-4.3,0.05,0,0,Autumn,No Holiday,Yes,Saturday
28/10/2018,651,18,8.9,85,1.8,2000,6.5,0.01,0,0,Autumn,No Holiday,Yes,Sunday
29/10/2018,1987,18,9.4,51,3.4,2000,-0.2,0.02,0,0,Autumn,No Holiday,Yes,Monday
30/10/2018,2074,18,8.4,52,2.6,2000,-0.9,0.03,0,0,Autumn,No Holiday,Yes,Tuesday
31/10/2018,2094,18,9.4,48,2,2000,-1,0.03,0,0,Autumn,No Holiday,Yes,Wednesday
01/11/2018,2254,18,11.8,43,1.3,1995,-0.3,0.03,0,0,Autumn,No Holiday,Yes,Thursday
02/11/2018,2314,18,14.6,42,1.4,1428,1.8,0.02,0,0,Autumn,No Holiday,Yes,Friday
03/11/2018,0,18,14.2,51,1.5,990,4.1,0.02,0,0,Autumn,No Holiday,No,Saturday
04/11/2018,1335,18,14.5,46,2.6,1618,3,0.01,0,0,Autumn,No Holiday,Yes,Sunday
05/11/2018,2357,18,14.5,54,1.3,1343,5.2,0.01,0,0,Autumn,No Holiday,Yes,Monday
06/11/2018,0,18,14,71,1.5,201,8.8,0.01,0,0,Autumn,No Holiday,No,Tuesday
07/11/2018,1347,18,14.4,77,1,912,10.4,0,0,0,Autumn,No Holiday,Yes,Wednesday
08/11/2018,40,18,12.9,97,0,406,12.4,0,9,0,Autumn,No Holiday,Yes,Thursday
09/11/2018,0,18,12.3,69,2.1,623,6.7,0.01,0,0,Autumn,No Holiday,No,Friday
10/11/2018,1226,18,13.2,57,2.2,618,4.8,0.01,0,0,Autumn,No Holiday,Yes,Saturday
11/11/2018,752,18,8.9,55,2,1333,0.3,0,0,0,Autumn,No Holiday,Yes,Sunday
12/11/2018,2022,18,10.6,45,1.8,1936,-0.8,0.01,0,0,Autumn,No Holiday,Yes,Monday
13/11/2018,2159,18,11.3,42,1.2,1846,-1.1,0.01,0,0,Autumn,No Holiday,Yes,Tuesday
14/11/2018,2200,18,12.2,47,2.6,1427,1.2,0.01,0,0,Autumn,No Holiday,Yes,Wednesday
15/11/2018,2034,18,12.1,46,1.4,799,0.8,0.01,0,0,Autumn,No Holiday,Yes,Thursday
16/11/2018,1956,18,9.9,74,2.6,492,5.4,0,0,0,Autumn,No Holiday,Yes,Friday
17/11/2018,877,18,7.1,40,0.6,1995,-5.6,0.01,0,0,Autumn,No Holiday,Yes,Saturday
18/11/2018,902,18,8.4,46,2.4,1823,-2.5,0,0,0,Autumn,No Holiday,Yes,Sunday
19/11/2018,1904,18,7.5,48,2.4,1079,-2.8,0,0,0,Autumn,No Holiday,Yes,Monday
20/11/2018,1857,18,9.1,31,2,1932,-7.1,0,0,0,Autumn,No Holiday,Yes,Tuesday
21/11/2018,1679,18,5.4,58,0.2,2000,-2.2,0,0,0,Autumn,No Holiday,Yes,Wednesday
22/11/2018,1591,18,4.1,46,2.7,2000,-6.5,0.01,0,0,Autumn,No Holiday,Yes,Thursday
23/11/2018,1548,18,3.9,23,1,2000,-15.4,0,0,0,Autumn,No Holiday,Yes,Friday
24/11/2018,426,18,2.6,86,1.1,834,0.4,0,0,3.5,Autumn,No Holiday,Yes,Saturday
25/11/2018,663,18,7.3,72,0.7,530,2.5,0,0,0.4,Autumn,No Holiday,Yes,Sunday
26/11/2018,1708,18,9.5,56,0.5,628,1.1,0,0,0,Autumn,No Holiday,Yes,Monday
27/11/2018,1538,18,10.2,74,1.2,289,5.7,0,0,0,Autumn,No Holiday,Yes,Tuesday
28/11/2018,1536,18,6.3,25,2,1653,-12.3,0,0,0,Autumn,No Holiday,Yes,Wednesday
29/11/2018,1577,18,0,46,0.9,1566,-4.8,0,0,0,Autumn,No Holiday,Yes,Thursday
30/11/2018,1384,18,4.7,34,1.9,1661,-9.8,0,0,0,Autumn,No Holiday,Yes,Friday
